id,name,picture_url
1011050,D'Ken Neramani,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009258,Dagger,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/528d31c9eac10.jpg
1010774,Daily Bugle,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4ce5a31605544.jpg
1010719,Daimon Hellstrom,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4ce5a2959ba25.jpg
1011001,Daken,http://i.annihil.us/u/prod/marvel/i/mg/3/a0/520289a920fd9.jpg
1011333,Dakota North,http://i.annihil.us/u/prod/marvel/i/mg/7/d0/4ce5a6888f769.jpg
1009259,Damage Control,http://i.annihil.us/u/prod/marvel/i/mg/5/00/4c00404b5e1a2.jpg
1009453,Dani Moonstar,http://i.annihil.us/u/prod/marvel/i/mg/6/20/4ce5a0614487a.jpg
1010776,Danny Rand,http://i.annihil.us/u/prod/marvel/i/mg/2/20/4c00374b1008a.jpg
1009262,Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/d/50/50febb79985ee.jpg
1017292,Daredevil (LEGO Marvel Super Heroes),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1017312,Daredevil (Marvel Heroes),http://i.annihil.us/u/prod/marvel/i/mg/6/00/5239be8a1c152.jpg
1010919,Daredevil (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/6/a0/53176b9e705dc.jpg
1011306,Dargo Ktor,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/4ce5a6299ade4.jpg
1011367,Dark Avengers,http://i.annihil.us/u/prod/marvel/i/mg/f/a0/526032c703d06.jpg
1010907,Dark Beast,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/52602f32efdab.jpg
1009265,Dark Phoenix,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59f6c7e332.jpg
1011387,Dark X-Men,http://i.annihil.us/u/prod/marvel/i/mg/9/40/4ce5a7160a79b.jpg
1011020,Darkhawk,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/5269553f4bc6a.jpg
1009266,Darkstar,http://i.annihil.us/u/prod/marvel/i/mg/d/20/4ce59f77ea6f1.jpg
1011016,Darwin,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c003269b12a4.jpg
1009267,Dazzler,http://i.annihil.us/u/prod/marvel/i/mg/6/10/4fe364b0a2177.jpg
1010920,Dazzler (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/f/20/4c0034510900d.jpg
1010341,Deacon Frost,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011087,Dead Girl,http://i.annihil.us/u/prod/marvel/i/mg/5/20/4c0030c61eb15.jpg
1009268,Deadpool,http://i.annihil.us/u/prod/marvel/i/mg/9/90/5261a86cacb99.jpg
1017316,Deadpool (Deadpool),http://i.annihil.us/u/prod/marvel/i/mg/2/f0/5239c232c227c.jpg
1017336,Deadpool (LEGO Marvel Super Heroes),http://i.annihil.us/u/prod/marvel/i/mg/a/a0/5239f9a8ee88d.jpg
1017474,Deadpool (X-Men: Battle of the Atom),http://i.annihil.us/u/prod/marvel/i/mg/6/20/52d72a5b55a55.jpg
1009269,Death,http://i.annihil.us/u/prod/marvel/i/mg/5/80/526031f5a21eb.jpg
1009270,Deathbird,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c004041be770.jpg
1011037,Deathcry,http://i.annihil.us/u/prod/marvel/i/mg/9/d0/535ff379c7c1b.jpg
1010890,Deathlok,http://i.annihil.us/u/prod/marvel/i/mg/7/10/526165a98dd8e.jpg
1014997,Deathstrike (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009713,Debra Whitman,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010717,Debrii,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0038c02e75a.jpg
1011188,Deena Pilgrim,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011023,Defenders,http://i.annihil.us/u/prod/marvel/i/mg/3/80/526031e9c785a.jpg
1011071,Demogoblin,http://i.annihil.us/u/prod/marvel/i/mg/c/80/535fedd611db9.jpg
1009271,Destiny,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009272,Detective Soap,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011107,Deviants,http://i.annihil.us/u/prod/marvel/i/mg/1/e0/4c0030a603d23.jpg
1017583,Devil Dinosaur (Devil Dinosaur),http://i.annihil.us/u/prod/marvel/i/mg/9/90/54aedc448b925.jpg
1017102,Devil Dinosaur (HAS),http://i.annihil.us/u/prod/marvel/i/mg/c/20/5232153150e10.jpg
1011142,Devos,http://i.annihil.us/u/prod/marvel/i/mg/4/20/4c002f87999a7.jpg
1011260,Dexter Bennett,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce5a5d5d8932.jpg
1009273,Diablo,http://i.annihil.us/u/prod/marvel/i/mg/c/f0/4ce59f83af33f.jpg
1009274,Diamondback (Rachel Leighton),http://i.annihil.us/u/prod/marvel/i/mg/6/f0/526955c158ece.jpg
1011040,Dinah Soar,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010997,Dirk Anger,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009326,Gressill,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011420,Grey Gargoyle,http://i.annihil.us/u/prod/marvel/i/mg/9/03/528d319931e60.jpg
1011292,Greymalkin,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009328,Grim Reaper,http://i.annihil.us/u/prod/marvel/i/mg/6/b0/4c003ee8885e4.jpg
1010743,Groot,http://i.annihil.us/u/prod/marvel/i/mg/3/10/526033c8b474a.jpg
1009330,Guardian,http://i.annihil.us/u/prod/marvel/i/mg/6/50/4dd531d26079c.jpg
1011299,Guardians of the Galaxy,http://i.annihil.us/u/prod/marvel/i/mg/2/70/50febd8be6b5d.jpg
1009331,Guardsmen,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010709,Gunslinger,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009207,GW Bridge,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009619,Gwen Stacy,http://i.annihil.us/u/prod/marvel/i/mg/8/40/4c003ad20ab78.jpg
1014994,Gwen Stacy (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
